Time,Absorbance
0.00107,0.05
0.00111,0.05
0.00118,0.05
0.00129,0.0501
0.00142,0.0498
0.00151,0.0496
0.00166,0.0496
0.00171,0.0493
0.00182,0.0491
0.00194,0.0489
0.00207,0.0487
0.0022,0.0487
0.00234,0.0487
0.00241,0.0486
0.00249,0.0486
0.00265,0.0484
0.00274,0.0482
0.00282,0.0481
0.0031,0.0481
0.0032,0.048
0.0034,0.0477
0.00362,0.0476
0.00374,0.0475
0.00398,0.0473
0.0041,0.0473
0.00423,0.0473
0.00437,0.0473
0.00465,0.0472
0.00479,0.0471
0.00495,0.0469
0.0051,0.0467
0.00543,0.0466
0.00578,0.0464
0.00615,0.0463
0.00655,0.0462
0.00676,0.046
0.00719,0.0459
0.00742,0.0458
0.00765,0.0457
0.0079,0.0456
0.00841,0.0453
0.00952,0.0451
0.00982,0.0451
0.0108,0.0449
0.0111,0.0448
0.0115,0.0446
0.0118,0.0445
0.0126,0.0444
0.0134,0.0442
0.0143,0.0441
0.0147,0.0441
0.0157,0.0441
0.0162,0.0441
0.0172,0.044
0.0183,0.044
0.0189,0.044
0.0201,0.0439
0.0221,0.0438
0.0235,0.0438
0.025,0.0438
0.0266,0.0438
0.0283,0.0437
0.0302,0.0436
0.0321,0.0435
0.0342,0.0433
0.0363,0.0433
0.0399,0.0433
0.0438,0.0433
0.0452,0.0433
0.0481,0.0433
0.0496,0.0433
0.0512,0.0433
0.0562,0.0432
0.058,0.0432
0.0598,0.0432
0.0637,0.0431
0.0657,0.0431
0.0699,0.043
0.0721,0.043
0.0744,0.043
0.0767,0.043
0.0817,0.0429
0.0869,0.0428
0.0897,0.0428
0.0954,0.0427
0.102,0.0426
0.105,0.0426
0.112,0.0424
0.119,0.0423
0.143,0.0421
0.152,0.0421
0.162,0.0422
0.172,0.0421
0.178,0.0421
0.189,0.042
0.195,0.042
0.208,0.0419
0.221,0.0419
0.228,0.0419
0.243,0.0418
0.267,0.0417
0.284,0.0415
0.293,0.0415
0.321,0.0414
0.342,0.0413
0.364,0.0412
0.388,0.041
0.4,0.041
0.426,0.0409
0.453,0.0408
0.482,0.0406
0.513,0.0405
0.529,0.0405
0.563,0.0404
0.6,0.0403
0.679,0.0402
0.723,0.0401
0.746,0.04
0.794,0.0399
0.819,0.0395
0.872,0.0393
0.928,0.0392
0.988,0.0391
1.02,0.039
1.05,0.0388
1.08,0.0387
1.12,0.0386
1.19,0.0384
1.23,0.0383
1.27,0.0382
1.35,0.0379
1.44,0.0377
1.53,0.0376
1.58,0.0375
1.68,0.0373
1.79,0.037
1.84,0.0368
1.9,0.0367
1.96,0.0365
2.09,0.0363
2.22,0.036
2.29,0.0359
2.44,0.0357
2.52,0.0355
2.6,0.0352
2.77,0.035
2.86,0.0348
2.95,0.0346
3.14,0.0343
3.24,0.0341
3.34,0.034
3.55,0.0338
3.67,0.0336
3.9,0.0333
4.03,0.0332
4.15,0.033
4.29,0.0329
4.42,0.0328
4.56,0.0325
4.71,0.0323
4.86,0.0322
5.17,0.032
5.5,0.0318
5.86,0.0315
6.04,0.0314
6.24,0.0313
6.43,0.0311
6.64,0.0309
7.07,0.0307
7.52,0.0305
7.76,0.0303
8.26,0.0301
8.79,0.03
9.07,0.0298
9.36,0.0297
9.96,0.0296
10.6,0.0294
10.9,0.0293
11.6,0.0293
12,0.0292
12.8,0.0291
13.6,0.0289
14.5,0.0288
15.4,0.0287
16.4,0.0286
16.9,0.0286
18,0.0286
19.2,0.0285
19.8,0.0285
21.7,0.0285
22.4,0.0285
23.8,0.0285
25.4,0.0284
27,0.0283
28.7,0.0283
31.5,0.0283
34.6,0.0283
36.8,0.0283
39.2,0.0283
43,0.0283
47.3,0.0283
50.3,0.0283
53.5,0.0283
55.2,0.0283
58.8,0.0283
62.5,0.0282
64.5,0.0282
66.5,0.0282
68.6,0.0282
73.1,0.0282
75.4,0.0282
77.7,0.0282
82.7,0.0282
85.4,0.0282
90.8,0.0283
93.7,0.0283
103,0.0283
109,0.0283
117,0.0282
128,0.0283
