Time,Absorbance
0.00102,0.0523
0.00104,0.0522
0.00108,0.052
0.0011,0.0519
0.00112,0.0519
0.00116,0.0517
0.0012,0.0516
0.0012,0.0514
0.00122,0.0513
0.00125,0.0512
0.00127,0.0511
0.00132,0.0509
0.00134,0.0508
0.00137,0.0506
0.00142,0.0504
0.00145,0.0502
0.00147,0.0502
0.00153,0.05
0.00156,0.0499
0.00159,0.0497
0.00162,0.0496
0.00165,0.0495
0.00171,0.0493
0.00174,0.0491
0.00177,0.049
0.00184,0.0488
0.00187,0.0487
0.00191,0.0485
0.00198,0.0484
0.00205,0.0482
0.00209,0.048
0.00213,0.0478
0.00217,0.0477
0.00221,0.0476
0.00225,0.0474
0.00229,0.0472
0.00234,0.0471
0.00238,0.0469
0.00247,0.0466
0.00256,0.0464
0.00261,0.0462
0.00266,0.046
0.00271,0.0459
0.00276,0.0457
0.00281,0.0456
0.00286,0.0454
0.00291,0.0452
0.00297,0.045
0.00302,0.0448
0.00302,0.0448
0.00314,0.0446
0.0032,0.0444
0.00326,0.0442
0.00338,0.044
0.00344,0.0438
0.00351,0.0436
0.00357,0.0435
0.00364,0.0433
0.0037,0.0431
0.00377,0.043
0.00384,0.043
0.00392,0.0428
0.00399,0.0426
0.00406,0.0424
0.00406,0.0424
0.00414,0.0422
0.00422,0.042
0.00429,0.0419
0.00437,0.0418
0.00446,0.0416
0.00454,0.0415
0.00462,0.0413
0.00462,0.0412
0.0048,0.0409
0.00489,0.0408
0.00498,0.0407
0.00507,0.0405
0.00507,0.0404
0.00516,0.0402
0.00526,0.0401
0.00536,0.0399
0.00546,0.0398
0.00556,0.0395
0.00566,0.0395
0.00577,0.0392
0.00598,0.0389
0.0061,0.0389
0.00621,0.0387
0.00633,0.0385
0.00633,0.0383
0.00644,0.0383
0.00656,0.0381
0.00668,0.0379
0.00681,0.0378
0.00694,0.0377
0.00707,0.0375
0.0072,0.0373
0.00733,0.0371
0.00747,0.037
0.00761,0.0369
0.00775,0.0367
0.00789,0.0366
0.00804,0.0365
0.00819,0.0363
0.00834,0.0362
0.0085,0.036
0.00882,0.0359
0.00882,0.0358
0.00898,0.0356
0.00915,0.0354
0.00932,0.0353
0.00949,0.0353
0.00967,0.0351
0.01,0.0349
0.0102,0.0347
0.0104,0.0346
0.0108,0.0344
0.011,0.0342
0.0114,0.0341
0.0116,0.0339
0.0118,0.0337
0.0125,0.0335
0.013,0.0334
0.0132,0.0332
0.0137,0.0331
0.0142,0.033
0.0145,0.0328
0.0148,0.0327
0.0153,0.0326
0.0156,0.0325
0.0162,0.0324
0.0168,0.0323
0.0171,0.0322
0.0178,0.032
0.0184,0.0319
0.0191,0.0318
0.0198,0.0318
0.0206,0.0317
0.0214,0.0316
0.0222,0.0315
0.023,0.0314
0.0243,0.0313
0.0252,0.0312
0.0257,0.0312
0.0262,0.0312
0.0267,0.0312
0.0272,0.0312
0.0277,0.0312
0.0282,0.0312
0.0287,0.0312
0.0292,0.0312
0.0303,0.0312
0.0309,0.0312
0.0321,0.0312
0.0327,0.0312
0.0333,0.0312
0.0345,0.0311
0.0358,0.031
0.0365,0.031
0.0372,0.031
0.0379,0.031
0.0386,0.031
0.0393,0.031
0.04,0.031
0.0408,0.031
0.0415,0.031
0.0423,0.031
0.0431,0.031
0.0447,0.031
0.0455,0.031
0.0472,0.031
0.049,0.031
0.0508,0.031
0.0528,0.0309
