Time,[NO],[sGC],[6C-sGC-NO],[5C-sGC-NO],Absorbance
0.000000e+00,1.530000e-06,4.700000e-07,0.000000e+00,0.000000e+00,5.828000e-02
1.178941e-04,1.518338e-06,4.583379e-07,1.166181e-08,3.129092e-13,5.760359e-02
2.487973e-04,1.505825e-06,4.458255e-07,2.417317e-08,1.369387e-12,5.687785e-02
3.619174e-04,1.495367e-06,4.353667e-07,3.463049e-08,2.854857e-12,5.627121e-02
5.272300e-04,1.480644e-06,4.206436e-07,4.935049e-08,5.930178e-12,5.541721e-02
6.368121e-04,1.471235e-06,4.112346e-07,5.875684e-08,8.531519e-12,5.487144e-02
7.696418e-04,1.460187e-06,4.001867e-07,6.980100e-08,1.225558e-11,5.423059e-02
9.308582e-04,1.447280e-06,3.872795e-07,8.270288e-08,1.757419e-11,5.348186e-02
1.070000e-03,1.436562e-06,3.765621e-07,9.341509e-08,2.283409e-11,5.286014e-02
1.070000e-03,1.436562e-06,3.765621e-07,9.341509e-08,2.283409e-11,5.286014e-02
1.110000e-03,1.433552e-06,3.735516e-07,9.642390e-08,2.445769e-11,5.268551e-02
1.180000e-03,1.428356e-06,3.683557e-07,1.016169e-07,2.741293e-11,5.238408e-02
1.290000e-03,1.420372e-06,3.603724e-07,1.095952e-07,3.234272e-11,5.192095e-02
1.290000e-03,1.420372e-06,3.603724e-07,1.095952e-07,3.234272e-11,5.192095e-02
1.416560e-03,1.411454e-06,3.514540e-07,1.185076e-07,3.843262e-11,5.140356e-02
1.420000e-03,1.411215e-06,3.512155e-07,1.187459e-07,3.860427e-11,5.138972e-02
1.510000e-03,1.405046e-06,3.450460e-07,1.249108e-07,4.320481e-11,5.103180e-02
1.660000e-03,1.395059e-06,3.350593e-07,1.348893e-07,5.133287e-11,5.045242e-02
1.660000e-03,1.395059e-06,3.350593e-07,1.348893e-07,5.133287e-11,5.045242e-02
1.710000e-03,1.391811e-06,3.318109e-07,1.381349e-07,5.416718e-11,5.026395e-02
1.820000e-03,1.384800e-06,3.247999e-07,1.451395e-07,6.061233e-11,4.985718e-02
1.820000e-03,1.384800e-06,3.247999e-07,1.451395e-07,6.061233e-11,4.985718e-02
1.940000e-03,1.377359e-06,3.173592e-07,1.525729e-07,6.796403e-11,4.942547e-02
1.940000e-03,1.377359e-06,3.173592e-07,1.525729e-07,6.796403e-11,4.942547e-02
2.070000e-03,1.369533e-06,3.095335e-07,1.603902e-07,7.629015e-11,4.897142e-02
2.070000e-03,1.369533e-06,3.095335e-07,1.603902e-07,7.629015e-11,4.897142e-02
2.200000e-03,1.361943e-06,3.019431e-07,1.679719e-07,8.497703e-11,4.853100e-02
2.200000e-03,1.361943e-06,3.019431e-07,1.679719e-07,8.497703e-11,4.853100e-02
